道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
6.90366E+11,4.20505E+19,猇亭-民主路张家湾路口北向南,4.20505E+11,宜昌支队猇亭大队,"111.45738,30.56104",2019/11/25,111.45738,30.56104
6.90366E+11,4.20505E+19,猇亭-先锋路张家湾路口西向东,4.20505E+11,宜昌支队猇亭大队,"111.45243,30.56694",2018/4/28,111.45243,30.56694
6.00022E+11,4.20503E+19,伍家-夷陵大道中南路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.32583,30.66772",2018/12/1,111.32583,30.66772
6.00012E+11,4.20503E+19,伍家-沿江大道杨岔路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.32001,30.67031",2018/12/1,111.32001,30.67031
6.00022E+11,4.20503E+19,伍家-夷陵大道港窑路口南向北卡口,4.20503E+11,宜昌支队伍家大队,"111.31392,30.6775",2018/12/1,111.31392,30.6775
6.00022E+11,4.20503E+19,伍家-夷陵大道港窑路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.31392,30.6775",2018/12/1,111.31392,30.6775
6.00012E+11,4.20503E+19,伍家-沿江大道中南路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.32403,30.66605",2018/12/1,111.32403,30.66605
6.00032E+11,4.20503E+19,伍家-东山大道东艳路口东向西,4.20503E+11,宜昌支队伍家大队,"111.34897,30.64745",2015/7/27,111.34897,30.64745
6.00032E+11,4.20503E+19,伍家-东山大道东艳路口西向东,4.20503E+11,宜昌支队伍家大队,"111.34897,30.64745",2015/7/27,111.34897,30.64745
6.00022E+11,4.20503E+19,伍家-夷陵大道白沙路口西向东,4.20503E+11,宜昌支队伍家大队,"111.35616,30.64405",2018/12/1,111.35616,30.64405
7.19151E+11,4.20503E+19,伍家-沿河路伍临路口北向南,4.20503E+11,宜昌支队伍家大队,"111.37029,30.62711",2018/12/1,111.37029,30.62711
6.00022E+11,4.20503E+19,伍家-夷陵大道王家河路口东向西,4.20503E+11,宜昌支队伍家大队,"111.34162,30.65307",2018/12/1,111.34162,30.65307
6.00032E+11,4.20503E+19,伍家-东山大道桔城路口东向西,4.20503E+11,宜昌支队伍家大队,"111.35915,30.64507",2015/7/27,111.35915,30.64507
6.00032E+11,4.20503E+19,伍家-东山大道桔城路口西向东,4.20503E+11,宜昌支队伍家大队,"111.35915,30.64507",2015/7/27,111.35915,30.64507
6.00032E+11,4.20503E+19,伍家-东山大道白沙路口西向东,4.20503E+11,宜昌支队伍家大队,"111.3568,30.6454",2015/7/27,111.3568,30.6454
